"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"chromosome_4_131850",417.039506512241,-2.00521570133694,0.455102312220886,-4.40607671613784,1.05259696956129e-05,0.000211105341412796,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131836",417.039506512241,-2.00521570133694,0.455102312220886,-4.40607671613784,1.05259696956129e-05,0.000211105341412796,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131810",417.039506512241,-2.00521570133694,0.455102312220886,-4.40607671613784,1.05259696956129e-05,0.000211105341412796,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131796",417.039506512241,-2.00521570133694,0.455102312220886,-4.40607671613784,1.05259696956129e-05,0.000211105341412796,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131847",415.587253890969,-2.00284823762422,0.454949335507061,-4.40235446303479,1.07082419557215e-05,0.000211105341412796,497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_4_131807",415.587253890969,-2.00284823762422,0.454949335507061,-4.40235446303479,1.07082419557215e-05,0.000211105341412796,497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_6_180004",169.915163677578,-1.76833668762624,0.573613679226106,-3.08280076237374,0.00205062396114879,0.0189291563120496,144,587,185,14,102,378,251,122,409,481,41,216,410,94,27,281,186,68,85
"chromosome_6_209591",104.110015337158,-1.99184328656089,0.660110902278934,-3.01743734224712,0.00254921735412683,0.0206936467570295,131,520,51,4,75,138,70,173,274,789,22,161,269,52,14,155,98,31,37
"chromosome_14_688567",54.0903330369332,3.29279731403218,0.769525412408392,4.27899749759619,1.87736973371068e-05,0.000323846279065092,3,1999,42,0,383,144,670,60,29,29,14,347,10,7,2,35,17,4,6
"chromosome_9_343049",96.2702513110328,-1.90153146876983,0.603939376783896,-3.14854692683872,0.00164084375954522,0.0188697032347701,77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_9_343055",96.2702513110328,-1.90153146876983,0.603939376783896,-3.14854692683872,0.00164084375954522,0.0188697032347701,77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_5_147390",38.603229009293,2.68661788002582,0.877252045671407,3.06253817620865,0.00219468478980285,0.0189291563120496,10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_5_147456",38.603229009293,2.68661788002582,0.877252045671407,3.06253817620865,0.00219468478980285,0.0189291563120496,10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_11_419903",23.0878451325923,2.20775375250569,0.796138917406995,2.77307603514257,0.00555291445001254,0.0425723441167628,17,278,32,0,52,76,230,40,31,44,1,166,44,2,0,7,21,10,32
"chromosome_5_173097",19.1806436568739,4.61670653493775,0.992160459054849,4.6531853721884,3.26846164393524e-06,0.000211105341412796,2,497,13,0,153,36,271,6,11,6,0,38,33,1,4,3,20,3,15
"chromosome_5_155769",105.522405847113,-2.26845651222468,0.67542158979642,-3.35857862184775,0.000783444313066616,0.0108115315203193,108,158,151,10,109,145,96,116,189,694,21,104,94,69,7,168,73,72,75
"chromosome_7_251368",47.6040711722289,2.24494682999106,0.730182296467685,3.07450186186542,0.00210854405345077,0.0189291563120496,8,1077,42,3,102,47,497,79,17,48,15,203,92,9,4,13,22,33,138
"chromosome_4_135958",50.8324028614125,-2.60602252547484,0.661952988263865,-3.93686949326987,8.25514721258977e-05,0.00126578923926377,26,122,69,2,27,69,15,26,104,368,15,63,104,14,15,74,58,20,100
